v(b0),v(b1),v(b2),v(b3),v(b4),v(b5),v(b6),i(Viout),v(Vout)
0,0,0,0,0,0,0,-1.35525272E-20,1.8
1,0,0,0,0,0,0,4.27350427E-08,1.8
0,1,0,0,0,0,0,8.54700855E-08,1.8
1,1,0,0,0,0,0,1.28205128E-07,1.8
0,0,1,0,0,0,0,2.99145299E-07,1.8
1,0,1,0,0,0,0,3.41880342E-07,1.8
0,1,1,0,0,0,0,3.84615385E-07,1.8
1,1,1,0,0,0,0,4.27350427E-07,1.8
0,0,0,1,0,0,0,1.11111111E-06,1.8
1,0,0,1,0,0,0,1.15384615E-06,1.8
0,1,0,1,0,0,0,1.1965812E-06,1.8
1,1,0,1,0,0,0,1.23931624E-06,1.8
0,0,1,1,0,0,0,1.41025641E-06,1.8
1,0,1,1,0,0,0,1.45299145E-06,1.8
0,1,1,1,0,0,0,1.4957265E-06,1.8
1,1,1,1,0,0,0,1.53846154E-06,1.8
0,0,0,0,1,0,0,4.14529915E-06,1.8
1,0,0,0,1,0,0,4.18803419E-06,1.8
0,1,0,0,1,0,0,4.23076923E-06,1.8
1,1,0,0,1,0,0,4.27350427E-06,1.8
0,0,1,0,1,0,0,4.44444444E-06,1.8
1,0,1,0,1,0,0,4.48717949E-06,1.8
0,1,1,0,1,0,0,4.52991453E-06,1.8
1,1,1,0,1,0,0,4.57264957E-06,1.8
0,0,0,1,1,0,0,5.25641026E-06,1.8
1,0,0,1,1,0,0,5.2991453E-06,1.8
0,1,0,1,1,0,0,5.34188034E-06,1.8
1,1,0,1,1,0,0,5.38461538E-06,1.8
0,0,1,1,1,0,0,5.55555556E-06,1.8
1,0,1,1,1,0,0,5.5982906E-06,1.8
0,1,1,1,1,0,0,5.64102564E-06,1.8
1,1,1,1,1,0,0,5.68376068E-06,1.8
0,0,0,0,0,1,0,1.54700855E-05,1.8
1,0,0,0,0,1,0,1.55128205E-05,1.8
0,1,0,0,0,1,0,1.55555556E-05,1.8
1,1,0,0,0,1,0,1.55982906E-05,1.8
0,0,1,0,0,1,0,1.57692308E-05,1.8
1,0,1,0,0,1,0,1.58119658E-05,1.8
0,1,1,0,0,1,0,1.58547009E-05,1.8
1,1,1,0,0,1,0,1.58974359E-05,1.8
0,0,0,1,0,1,0,1.65811966E-05,1.8
1,0,0,1,0,1,0,1.66239316E-05,1.8
0,1,0,1,0,1,0,1.66666667E-05,1.8
1,1,0,1,0,1,0,1.67094017E-05,1.8
0,0,1,1,0,1,0,1.68803419E-05,1.8
1,0,1,1,0,1,0,1.69230769E-05,1.8
0,1,1,1,0,1,0,1.6965812E-05,1.8
1,1,1,1,0,1,0,1.7008547E-05,1.8
0,0,0,0,1,1,0,1.96153846E-05,1.8
1,0,0,0,1,1,0,1.96581197E-05,1.8
0,1,0,0,1,1,0,1.97008547E-05,1.8
1,1,0,0,1,1,0,1.97435897E-05,1.8
0,0,1,0,1,1,0,1.99145299E-05,1.8
1,0,1,0,1,1,0,1.9957265E-05,1.8
0,1,1,0,1,1,0,2E-05,1.8
1,1,1,0,1,1,0,2.0042735E-05,1.8
0,0,0,1,1,1,0,2.07264957E-05,1.8
1,0,0,1,1,1,0,2.07692308E-05,1.8
0,1,0,1,1,1,0,2.08119658E-05,1.8
1,1,0,1,1,1,0,2.08547009E-05,1.8
0,0,1,1,1,1,0,2.1025641E-05,1.8
1,0,1,1,1,1,0,2.10683761E-05,1.8
0,1,1,1,1,1,0,2.11111111E-05,1.8
1,1,1,1,1,1,0,2.11538462E-05,1.8
0,0,0,0,0,0,1,5.77350427E-05,1.8
1,0,0,0,0,0,1,5.77777778E-05,1.8
0,1,0,0,0,0,1,5.78205128E-05,1.8
1,1,0,0,0,0,1,5.78632479E-05,1.8
0,0,1,0,0,0,1,5.8034188E-05,1.8
1,0,1,0,0,0,1,5.80769231E-05,1.8
0,1,1,0,0,0,1,5.81196581E-05,1.8
1,1,1,0,0,0,1,5.81623932E-05,1.8
0,0,0,1,0,0,1,5.88461538E-05,1.8
1,0,0,1,0,0,1,5.88888889E-05,1.8
0,1,0,1,0,0,1,5.89316239E-05,1.8
1,1,0,1,0,0,1,5.8974359E-05,1.8
0,0,1,1,0,0,1,5.91452991E-05,1.8
1,0,1,1,0,0,1,5.91880342E-05,1.8
0,1,1,1,0,0,1,5.92307692E-05,1.8
1,1,1,1,0,0,1,5.92735043E-05,1.8
0,0,0,0,1,0,1,6.18803419E-05,1.8
1,0,0,0,1,0,1,6.19230769E-05,1.8
0,1,0,0,1,0,1,6.1965812E-05,1.8
1,1,0,0,1,0,1,6.2008547E-05,1.8
0,0,1,0,1,0,1,6.21794872E-05,1.8
1,0,1,0,1,0,1,6.22222222E-05,1.8
0,1,1,0,1,0,1,6.22649573E-05,1.8
1,1,1,0,1,0,1,6.23076923E-05,1.8
0,0,0,1,1,0,1,6.2991453E-05,1.8
1,0,0,1,1,0,1,6.3034188E-05,1.8
0,1,0,1,1,0,1,6.30769231E-05,1.8
1,1,0,1,1,0,1,6.31196581E-05,1.8
0,0,1,1,1,0,1,6.32905983E-05,1.8
1,0,1,1,1,0,1,6.33333333E-05,1.8
0,1,1,1,1,0,1,6.33760684E-05,1.8
1,1,1,1,1,0,1,6.34188034E-05,1.8
0,0,0,0,0,1,1,7.32051282E-05,1.8
1,0,0,0,0,1,1,7.32478632E-05,1.8
0,1,0,0,0,1,1,7.32905983E-05,1.8
1,1,0,0,0,1,1,7.33333333E-05,1.8
0,0,1,0,0,1,1,7.35042735E-05,1.8
1,0,1,0,0,1,1,7.35470085E-05,1.8
0,1,1,0,0,1,1,7.35897436E-05,1.8
1,1,1,0,0,1,1,7.36324786E-05,1.8
0,0,0,1,0,1,1,7.43162393E-05,1.8
1,0,0,1,0,1,1,7.43589744E-05,1.8
0,1,0,1,0,1,1,7.44017094E-05,1.8
1,1,0,1,0,1,1,7.44444444E-05,1.8
0,0,1,1,0,1,1,7.46153846E-05,1.8
1,0,1,1,0,1,1,7.46581197E-05,1.8
0,1,1,1,0,1,1,7.47008547E-05,1.8
1,1,1,1,0,1,1,7.47435897E-05,1.8
0,0,0,0,1,1,1,7.73504274E-05,1.8
1,0,0,0,1,1,1,7.73931624E-05,1.8
0,1,0,0,1,1,1,7.74358974E-05,1.8
1,1,0,0,1,1,1,7.74786325E-05,1.8
0,0,1,0,1,1,1,7.76495726E-05,1.8
1,0,1,0,1,1,1,7.76923077E-05,1.8
0,1,1,0,1,1,1,7.77350427E-05,1.8
1,1,1,0,1,1,1,7.77777778E-05,1.8
0,0,0,1,1,1,1,7.84615385E-05,1.8
1,0,0,1,1,1,1,7.85042735E-05,1.8
0,1,0,1,1,1,1,7.85470085E-05,1.8
1,1,0,1,1,1,1,7.85897436E-05,1.8
0,0,1,1,1,1,1,7.87606838E-05,1.8
1,0,1,1,1,1,1,7.88034188E-05,1.8
0,1,1,1,1,1,1,7.88461538E-05,1.8
1,1,1,1,1,1,1,7.88888889E-05,1.8
